		THE RISE OF
SILAS LAPHAM	PERSON	by
William Dean Howells	PERSON	I .

		WHEN
Bartley Hubbard	PERSON	went to interview
Silas Lapham	PERSON	for the `` Solid Men of
Boston	LOCATION	'' series , which he undertook to finish up in The Events , after he replaced their original projector on that newspaper ,
Lapham	PERSON	received him in his private office by previous appointment .

		`` Walk right in ! ''

		he called out to the journalist , whom he caught sight of through the door of the counting-room .

		He did not rise from the desk at which he was writing , but he gave
Bartley	PERSON	his left hand for welcome , and he rolled his large head in the direction of a vacant chair .

		`` Sit down !

		I 'll be with you in just half a minute . ''

		`` Take your time , '' said
Bartley	PERSON	, with the ease he instantly felt .

		`` I 'm in no hurry . ''

		He took a note-book from his pocket , laid it on his knee , and began to sharpen a pencil .

		`` There ! ''


Lapham	PERSON	pounded with his great hairy fist on the envelope he had been addressing .

		`` William ! ''

		he called out , and he handed the letter to a boy who came to get it .

		`` I want that to go right away .

		Well , sir , '' he continued , wheeling round in his leather-cushioned swivel-chair , and facing
Bartley	PERSON	, seated so near that their knees almost touched , `` so you want my life , death , and Christian sufferings , do you , young man ? ''

		`` That 's what I 'm after , '' said
Bartley	PERSON	.

		`` Your money or your life . ''

		`` I guess you would n't want my life without the money , '' said
Lapham	PERSON	, as if he were willing to prolong these moments of preparation .

		`` Take 'em both , ''
Bartley	PERSON	suggested .

		`` Do n't want your money without your life , if you come to that .

		But you 're just one million times more interesting to the public than if you had n't a dollar ; and you know that as well as I do , Mr.
Lapham	PERSON	.

		There 's no use beating about the bush . ''

		`` No , '' said
Lapham	PERSON	, somewhat absently .

		He put out his huge foot and pushed the ground-glass door shut between his little den and the book-keepers , in their larger den outside .

		`` In personal appearance , '' wrote
Bartley	PERSON	in the sketch for which he now studied his subject , while he waited patiently for him to continue , ``
Silas Lapham	PERSON	is a fine type of the successful American .

		He has a square , bold chin , only partially concealed by the short reddish-grey beard , growing to the edges of his firmly closing lips .

		His nose is short and straight ; his forehead good , but broad rather than high ; his eyes blue , and with a light in them that is kindly or sharp according to his mood .

		He is of medium height , and fills an average arm-chair with a solid bulk , which on the day of our interview was unpretentiously clad in a business suit of blue serge .

		His head droops somewhat from a short neck , which does not trouble itself to rise far from a pair of massive shoulders . ''

		`` I do n't know as I know just where you want me to begin , '' said
Lapham	PERSON	.

		`` Might begin with your birth ; that 's where most of us begin , '' replied
Bartley	PERSON	.

		A gleam of humorous appreciation shot into
Lapham	PERSON	's blue eyes .

		`` I did n't know whether you wanted me to go quite so far back as that , '' he said .

		`` But there 's no disgrace in having been born , and I was born in the State of
Vermont	LOCATION	, pretty well up under the
Canada	LOCATION	line -- so well up , in fact , that I came very near being an adoptive citizen ; for I was bound to be an American of SOME sort , from the word Go !

		That was about -- well , let me see !

		-- pretty near sixty years ago : this is ' 75 , and that was ' 20 .

		Well , say I 'm fifty-five years old ; and I 've LIVED 'em , too ; not an hour of waste time about ME , anywheres !

		I was born on a farm , and -- '' `` Worked in the fields summers and went to school winters : regulation thing ? ''


Bartley	PERSON	cut in .

		`` Regulation thing , '' said
Lapham	PERSON	, accepting this irreverent version of his history somewhat dryly .

		`` Parents poor , of course , '' suggested the journalist .

		`` Any barefoot business ?

		Early deprivations of any kind , that would encourage the youthful reader to go and do likewise ?

		Orphan myself , you know , '' said
Bartley	PERSON	, with a smile of cynical good-comradery .


Lapham	PERSON	looked at him silently , and then said with quiet self-respect , `` I guess if you see these things as a joke , my life wo n't interest you . ''

		`` Oh yes , it will , '' returned
Bartley	PERSON	, unabashed .

		`` You 'll see ; it 'll come out all right . ''

		And in fact it did so , in the interview which
Bartley	PERSON	printed .

		`` Mr.
Lapham	PERSON	, '' he wrote , `` passed rapidly over the story of his early life , its poverty and its hardships , sweetened , however , by the recollections of a devoted mother , and a father who , if somewhat her inferior in education , was no less ambitious for the advancement of his children .

		They were quiet , unpretentious people , religious , after the fashion of that time , and of sterling morality , and they taught their children the simple virtues of the Old Testament and Poor
Richard	PERSON	's Almanac . ''


Bartley	PERSON	could not deny himself this gibe ; but he trusted to
Lapham	PERSON	's unliterary habit of mind for his security in making it , and most other people would consider it sincere reporter 's rhetoric .

		`` You know , '' he explained to
Lapham	PERSON	, `` that we have to look at all these facts as material , and we get the habit of classifying them .

		Sometimes a leading question will draw out a whole line of facts that a man himself would never think of . ''

		He went on to put several queries , and it was from
Lapham	PERSON	's answers that he generalised the history of his childhood .

		`` Mr.
Lapham	PERSON	, although he did not dwell on his boyish trials and struggles , spoke of them with deep feeling and an abiding sense of their reality . ''

		This was what he added in the interview , and by the time he had got
Lapham	PERSON	past the period where risen Americans are all pathetically alike in their narrow circumstances , their sufferings , and their aspirations , he had beguiled him into forgetfulness of the check he had received , and had him talking again in perfect enjoyment of his autobiography .

		`` Yes , sir , '' said
Lapham	PERSON	, in a strain which
Bartley	PERSON	was careful not to interrupt again , `` a man never sees all that his mother has been to him till it 's too late to let her know that he sees it .

		Why , my mother -- '' he stopped .

		`` It gives me a lump in the throat , '' he said apologetically , with an attempt at a laugh .

		Then he went on : `` She was a little frail thing , not bigger than a good-sized intermediate school-girl ; but she did the whole work of a family of boys , and boarded the hired men besides .

		She cooked , swept , washed , ironed , made and mended from daylight till dark -- and from dark till daylight , I was going to say ; for I do n't know how she got any time for sleep .

		But I suppose she did .

		She got time to go to church , and to teach us to read the Bible , and to misunderstand it in the old way .

		She was GOOD .

		But it ai n't her on her knees in church that comes back to me so much like the sight of an angel as her on her knees before me at night , washing my poor , dirty little feet , that I 'd run bare in all day , and making me decent for bed .

		There were six of us boys ; it seems to me we were all of a size ; and she was just so careful with all of us .

		I can feel her hands on my feet yet ! ''


Bartley	PERSON	looked at
Lapham	PERSON	's No. 10 boots , and softly whistled through his teeth .

		`` We were patched all over ; but we wa 'n' t ragged .

		I do n't know how she got through it .

		She did n't seem to think it was anything ; and I guess it was no more than my father expected of her .

		HE worked like a horse in doors and out -- up at daylight , feeding the stock , and groaning round all day with his rheumatism , but not stopping . ''


Bartley	PERSON	hid a yawn over his note-book , and probably , if he could have spoken his mind , he would have suggested to
Lapham	PERSON	that he was not there for the purpose of interviewing his ancestry .

		But
Bartley	PERSON	had learned to practise a patience with his victims which he did not always feel , and to feign an interest in their digressions till he could bring them up with a round turn .

		`` I tell you , '' said
Lapham	PERSON	, jabbing the point of his penknife into the writing-pad on the desk before him , `` when I hear women complaining nowadays that their lives are stunted and empty , I want to tell 'em about my MOTHER 'S life .

		I could paint it out for 'em . ''


Bartley	PERSON	saw his opportunity at the word paint , and cut in .

		`` And you say , Mr.
Lapham	PERSON	, that you discovered this mineral paint on the old farm yourself ? ''


Lapham	PERSON	acquiesced in the return to business .

		`` I did n't discover it , '' he said scrupulously .

		`` My father found it one day , in a hole made by a tree blowing down .

		There it was , lying loose in the pit , and sticking to the roots that had pulled up a big , cake of dirt with 'em .

		I do n't know what give him the idea that there was money in it , but he did think so from the start .

		I guess , if they 'd had the word in those days , they 'd considered him pretty much of a crank about it .

		He was trying as long as he lived to get that paint introduced ; but he could n't make it go .

		The country was so poor they could n't paint their houses with anything ; and father had n't any facilities .

		It got to be a kind of joke with us ; and I guess that paint-mine did as much as any one thing to make us boys clear out as soon as we got old enough .

		All my brothers went West , and took up land ; but I hung on to
New England	LOCATION	and I hung on to the old farm , not because the paint-mine was on it , but because the old house was -- and the graves .

		Well , '' said
Lapham	PERSON	, as if unwilling to give himself too much credit , `` there would n't been any market for it , anyway .

		You can go through that part of the State and buy more farms than you can shake a stick at for less money than it cost to build the barns on 'em .

		Of course , it 's turned out a good thing .

		I keep the old house up in good shape , and we spend a month or so there every summer .

		M ' wife kind of likes it , and the girls .

		Pretty place ; sightly all round it .

		I 've got a force of men at work there the whole time , and I 've got a man and his wife in the house .

		Had a family meeting there last year ; the whole connection from out
West	LOCATION	.

		There ! ''


Lapham	PERSON	rose from his seat and took down a large warped , unframed photograph from the top of his desk , passing his hand over it , and then blowing vigorously upon it , to clear it of the dust .

		`` There we are , ALL of us . ''

		`` I do n't need to look twice at YOU , '' said
Bartley	PERSON	, putting his finger on one of the heads .

		`` Well , that 's
Bill	PERSON	, '' said
Lapham	PERSON	, with a gratified laugh .

		`` He 's about as brainy as any of us , I guess .

		He 's one of their leading lawyers , out
Dubuque	LOCATION	way ; been judge of the Common Pleas once or twice .

		That 's his son -- just graduated at
Yale	ORGANIZATION	-- alongside of my youngest girl .

		Good-looking chap , ai n't he ? ''

		`` SHE 'S a good-looking chap , '' said
Bartley	PERSON	, with prompt irreverence .

		He hastened to add , at the frown which gathered between
Lapham	PERSON	's eyes , `` What a beautiful creature she is !

		What a lovely , refined , sensitive face !

		And she looks GOOD , too . ''

		`` She is good , '' said the father , relenting .

		`` And , after all , that 's about the best thing in a woman , '' said the potential reprobate .

