
CRANFORD	LOCATION	_ by _ _
Elizabeth Cleghorn Gaskell	PERSON	_ -LSB- Picture : Picture of lady pouring tea -RSB- _ With twenty-five coloured illustrations _ _ by
C. E. Brock	PERSON	_ -LSB- Picture : Decorative graphic -RSB- 1904 _
London	LOCATION	_ .

		_
J. M. Dent & Co.	ORGANIZATION	_ _
New York	LOCATION	_ .

		_
E. P. Dutton & Co.	ORGANIZATION	_ CHAPTER I OUR SOCIETY IN the first place ,
Cranford	LOCATION	is in possession of the Amazons ; all the holders of houses above a certain rent are women .

		If a married couple come to settle in the town , somehow the gentleman disappears ; he is either fairly frightened to death by being the only man in the
Cranford	LOCATION	evening parties , or he is accounted for by being with his regiment , his ship , or closely engaged in business all the week in the great neighbouring commercial town of
Drumble	LOCATION	, distant only twenty miles on a railroad .

		In short , whatever does become of the gentlemen , they are not at
Cranford	LOCATION	.

		What could they do if they were there ?

		The surgeon has his round of thirty miles , and sleeps at
Cranford	LOCATION	; but every man can not be a surgeon .

		For keeping the trim gardens full of choice flowers without a weed to speck them ; for frightening away little boys who look wistfully at the said flowers through the railings ; for rushing out at the geese that occasionally venture in to the gardens if the gates are left open ; for deciding all questions of literature and politics without troubling themselves with unnecessary reasons or arguments ; for obtaining clear and correct knowledge of everybody 's affairs in the parish ; for keeping their neat maid-servants in admirable order ; for kindness -LRB- somewhat dictatorial -RRB- to the poor , and real tender good offices to each other whenever they are in distress , the ladies of
Cranford	LOCATION	are quite sufficient .

		`` A man , '' as one of them observed to me once , `` is _ so _ in the way in the house ! ''

		Although the ladies of
Cranford	LOCATION	know all each other 's proceedings , they are exceedingly indifferent to each other 's opinions .

		Indeed , as each has her own individuality , not to say eccentricity , pretty strongly developed , nothing is so easy as verbal retaliation ; but , somehow , good-will reigns among them to a considerable degree .

		The
Cranford	LOCATION	ladies have only an occasional little quarrel , spirited out in a few peppery words and angry jerks of the head ; just enough to prevent the even tenor of their lives from becoming too flat .

		Their dress is very independent of fashion ; as they observe , `` What does it signify how we dress here at
Cranford	LOCATION	, where everybody knows us ? ''

		And if they go from home , their reason is equally cogent , `` What does it signify how we dress here , where nobody knows us ? ''

		The materials of their clothes are , in general , good and plain , and most of them are nearly as scrupulous as Miss
Tyler	PERSON	, of cleanly memory ; but I will answer for it , the last gigot , the last tight and scanty petticoat in wear in
England	LOCATION	, was seen in
