THE	DT
MARROW	NN
OF	IN
TRADITION	NN
by	IN
Charles	NNP
W.	NNP
Chestnutt	NNP
1901	CD
The	DT
Marrow	NN
of	IN
Tradition	NN
I	CD
like	VBP
you	PRP
and	CC
your	PRP$
book	NN
,	,
ingenious	JJ
Hone	NN
!	.

In	IN
whose	WP$
capacious	JJ
all-embracing	JJ
leaves	NNS
The	DT
very	RB
marrow	NN
of	IN
tradition	NN
's	POS
shown	VBN
.	.

--	:
CHARLES	NNP
LAMB	NNP
_	VBD
To	TO
the	DT
Editor	NNP
of	IN
the	DT
Every-Day	NNP
Book	NNP
_	VBD
I	PRP
AT	IN
BREAK	NNP
OF	IN
DAY	NNP
``	``
Stay	NNP
here	RB
beside	IN
her	PRP
,	,
major	JJ
.	.

I	PRP
shall	MD
not	RB
he	PRP
needed	VBD
for	IN
an	DT
hour	NN
yet	RB
.	.

Meanwhile	RB
I	PRP
'll	MD
go	VB
downstairs	NNS
and	CC
snatch	VB
a	DT
bit	NN
of	IN
sleep	NN
,	,
or	CC
talk	NN
to	TO
old	JJ
Jane	NNP
.	.
''	''

The	DT
night	NN
was	VBD
hot	JJ
and	CC
sultry	JJ
.	.

Though	IN
the	DT
windows	NNS
of	IN
the	DT
chamber	NN
were	VBD
wide	JJ
open	JJ
,	,
and	CC
the	DT
muslin	NN
curtains	NNS
looped	VBD
back	RB
,	,
not	RB
a	DT
breath	NN
of	IN
air	NN
was	VBD
stirring	VBG
.	.

Only	RB
the	DT
shrill	JJ
chirp	NN
of	IN
the	DT
cicada	NN
and	CC
the	DT
muffled	VBN
croaking	VBG
of	IN
the	DT
frogs	NNS
in	IN
some	DT
distant	JJ
marsh	NN
broke	VBD
the	DT
night	NN
silence	NN
.	.

The	DT
heavy	JJ
scent	NN
of	IN
magnolias	NNS
,	,
overpowering	VBG
even	RB
the	DT
strong	JJ
smell	NN
of	IN
drugs	NNS
in	IN
the	DT
sickroom	NN
,	,
suggested	VBD
death	NN
and	CC
funeral	JJ
wreaths	NNS
,	,
sorrow	NN
and	CC
tears	NNS
,	,
the	DT
long	JJ
home	NN
,	,
the	DT
last	JJ
sleep	NN
.	.

The	DT
major	JJ
shivered	VBD
with	IN
apprehension	NN
as	IN
the	DT
slender	JJ
hand	NN
which	WDT
he	PRP
held	VBD
in	IN
his	PRP$
own	JJ
contracted	VBD
nervously	RB
and	CC
in	IN
a	DT
spasm	NN
of	IN
pain	NN
clutched	VBD
his	PRP$
fingers	NNS
with	IN
a	DT
viselike	JJ
grip	NN
.	.

Major	JJ
Carteret	NNP
,	,
though	IN
dressed	VBN
in	IN
brown	JJ
linen	NN
,	,
had	VBD
thrown	VBN
off	RP
his	PRP$
coat	NN
for	IN
greater	JJR
comfort	NN
.	.

The	DT
stifling	VBG
heat	NN
,	,
in	IN
spite	NN
of	IN
the	DT
palm-leaf	JJ
fan	NN
which	WDT
he	PRP
plied	VBD
mechanically	RB
,	,
was	VBD
scarcely	RB
less	JJR
oppressive	JJ
than	IN
his	PRP$
own	JJ
thoughts	NNS
.	.

Long	NNP
ago	RB
,	,
while	IN
yet	RB
a	DT
mere	JJ
boy	NN
in	IN
years	NNS
,	,
he	PRP
had	VBD
come	VBN
back	RB
from	IN
Appomattox	NNP
to	TO
find	VB
his	PRP$
family	NN
,	,
one	CD
of	IN
the	DT
oldest	JJS
and	CC
proudest	JJS
in	IN
the	DT
state	NN
,	,
hopelessly	RB
impoverished	JJ
by	IN
the	DT
war	NN
,	,
--	:
even	RB
their	PRP$
ancestral	JJ
home	NN
swallowed	VBD
up	RP
in	IN
the	DT
common	JJ
ruin	VBP
.	.

His	PRP$
elder	JJR
brother	NN
had	VBD
sacrificed	VBN
his	PRP$
life	NN
on	IN
the	DT
bloody	JJ
altar	NN
of	IN
the	DT
lost	VBN
cause	NN
,	,
and	CC
his	PRP$
father	NN
,	,
broken	VBN
and	CC
chagrined	VBN
,	,
died	VBD
not	RB
many	JJ
years	NNS
later	RB
,	,
leaving	VBG
the	DT
major	JJ
the	DT
last	JJ
of	IN
his	PRP$
line	NN
.	.

He	PRP
had	VBD
tried	VBN
in	IN
various	JJ
pursuits	NNS
to	TO
gain	VB
a	DT
foothold	NN
in	IN
the	DT
new	JJ
life	NN
,	,
but	CC
with	IN
indifferent	JJ
success	NN
until	IN
he	PRP
won	VBD
the	DT
hand	NN
of	IN
Olivia	NNP
Merkell	NNP
,	,
whom	WP
he	PRP
had	VBD
seen	VBN
grow	VB
from	IN
a	DT
small	JJ
girl	NN
to	TO
glorious	JJ
womanhood	NN
.	.

With	IN
her	PRP$
money	NN
he	PRP
had	VBD
founded	VBN
the	DT
Morning	NN
Chronicle	NNP
,	,
which	WDT
he	PRP
had	VBD
made	VBN
the	DT
leading	VBG
organ	NN
of	IN
his	PRP$
party	NN
and	CC
the	DT
most	RBS
influential	JJ
paper	NN
in	IN
the	DT
State	NN
.	.

The	DT
fine	JJ
old	JJ
house	NN
in	IN
which	WDT
they	PRP
lived	VBD
was	VBD
hers	NNS
.	.

In	IN
this	DT
very	RB
room	NN
she	PRP
had	VBD
first	JJ
drawn	VBN
the	DT
breath	NN
of	IN
life	NN
;	:
it	PRP
had	VBD
been	VBN
their	PRP$
nuptial	JJ
chamber	NN
;	:
and	CC
here	RB
,	,
too	RB
,	,
within	IN
a	DT
few	JJ
hours	NNS
,	,
she	PRP
might	MD
die	VB
,	,
for	IN
it	PRP
seemed	VBD
impossible	JJ
that	IN
one	CD
could	MD
long	RB
endure	VB
such	JJ
frightful	JJ
agony	NN
and	CC
live	VB
.	.

One	CD
cloud	NN
alone	RB
had	VBD
marred	VBN
the	DT
otherwise	RB
perfect	JJ
serenity	NN
of	IN
their	PRP$
happiness	NN
.	.

Olivia	NNP
was	VBD
childless	JJ
.	.

To	TO
have	VB
children	NNS
to	TO
perpetuate	VB
the	DT
name	NN
of	IN
which	WDT
he	PRP
was	VBD
so	RB
proud	JJ
,	,
to	TO
write	VB
it	PRP
still	RB
higher	RBR
on	IN
the	DT
roll	NN
of	IN
honor	NN
,	,
had	VBD
been	VBN
his	PRP$
dearest	JJ
hope	NN
.	.

His	PRP$
disappointment	NN
had	VBD
been	VBN
proportionately	RB
keen	JJ
.	.

A	DT
few	JJ
months	NNS
ago	IN
this	DT
dead	JJ
hope	NN
had	VBD
revived	VBN
,	,
and	CC
altered	VBD
the	DT
whole	JJ
aspect	NN
of	IN
their	PRP$
lives	NNS
.	.

But	CC
as	IN
time	NN
went	VBD
on	IN
,	,
his	PRP$
wife	NN
's	POS
age	NN
had	VBD
begun	VBN
to	TO
tell	VB
upon	IN
her	PRP
,	,
until	IN
even	RB
Dr.	NNP
Price	NNP
,	,
the	DT
most	RBS
cheerful	JJ
and	CC
optimistic	JJ
of	IN
physicians	NNS
,	,
had	VBD
warned	VBN
him	PRP
,	,
while	IN
hoping	VBG
for	IN
the	DT
best	JJS
,	,
to	TO
be	VB
prepared	VBN
for	IN
the	DT
worst	JJS
.	.

To	TO
add	VB
to	TO
the	DT
danger	NN
,	,
Mrs.	NNP
Carteret	NNP
had	VBD
only	RB
this	DT
day	NN
suffered	VBN
from	IN
a	DT
nervous	JJ
shock	NN
,	,
which	WDT
,	,
it	PRP
was	VBD
feared	VBN
,	,
had	VBD
hastened	VBN
by	IN
several	JJ
weeks	NNS
the	DT
expected	VBN
event	NN
.	.

Dr.	NNP
Price	NNP
went	VBD
downstairs	RB
to	TO
the	DT
library	NN
,	,
where	WRB
a	DT
dim	JJ
light	NN
was	VBD
burning	VBG
.	.

An	DT
old	JJ
black	JJ
woman	NN
,	,
dressed	VBN
in	IN
a	DT
gingham	NN
frock	NN
,	,
with	IN
a	DT
red	JJ
bandana	NN
handkerchief	NN
coiled	VBN
around	IN
her	PRP$
head	NN
by	IN
way	NN
of	IN
turban	NN
,	,
was	VBD
seated	VBN
by	IN
an	DT
open	JJ
window	NN
.	.

She	PRP
rose	VBD
and	CC
curtsied	VBD
as	IN
the	DT
doctor	NN
entered	VBD
and	CC
dropped	VBD
into	IN
a	DT
willow	JJ
rocking-chair	NN
near	IN
her	PRP$
own	JJ
.	.

``	``
How	WRB
did	VBD
this	DT
happen	VB
,	,
Jane	NNP
?	.
''	''

he	PRP
asked	VBD
in	IN
a	DT
subdued	VBN
voice	NN
,	,
adding	VBG
,	,
with	IN
assumed	VBN
severity	NN
,	,
``	``
You	PRP
ought	MD
to	TO
have	VB
taken	VBN
better	JJR
care	NN
of	IN
your	PRP$
mistress	NN
.	.
''	''

``	``
Now	RB
look	VB
a-hyuh	NN
,	,
Doctuh	NNP
Price	NNP
,	,
''	''
returned	VBD
the	DT
old	JJ
woman	NN
in	IN
an	DT
unctuous	JJ
whisper	NN
,	,
``	``
you	PRP
don	VBP
'	''
wanter	VBP
come	VBN
talkin	VBG
'	''
none	NN
er	NN
yo	NN
'	''
foolishness	NN
`	``
bout	NN
my	PRP$
not	RB
takin	VBG
'	''
keer	FW
er	FW
Mis	FW
'	''
`	``
Livy	NNP
.	.

_	NNP
She	PRP
_	VBZ
never	RB
would	MD
`	``
a	DT
'	''
said	VBD
