LIFE	NN
IN	IN
THE	DT
IRON-MILLS	NN
by	IN
Rebecca	NNP
Harding	NNP
Davis	NNP
``	``
Is	VBZ
this	DT
the	DT
end	NN
?	.

O	NNP
Life	NNP
,	,
as	IN
futile	JJ
,	,
then	RB
,	,
as	IN
frail	JJ
!	.

What	WDT
hope	NN
of	IN
answer	NN
or	CC
redress	NN
?	.
''	''

A	DT
cloudy	JJ
day	NN
:	:
do	VB
you	PRP
know	VB
what	WP
that	DT
is	VBZ
in	IN
a	DT
town	NN
of	IN
iron-works	NNS
?	.

The	DT
sky	NN
sank	VBD
down	RP
before	IN
dawn	NN
,	,
muddy	JJ
,	,
flat	JJ
,	,
immovable	JJ
.	.

The	DT
air	NN
is	VBZ
thick	JJ
,	,
clammy	JJ
with	IN
the	DT
breath	NN
of	IN
crowded	JJ
human	JJ
beings	NNS
.	.

It	PRP
stifles	VBZ
me	PRP
.	.

I	PRP
open	VBP
the	DT
window	NN
,	,
and	CC
,	,
looking	VBG
out	RP
,	,
can	MD
scarcely	RB
see	VB
through	IN
the	DT
rain	NN
the	DT
grocer	NN
's	POS
shop	NN
opposite	NN
,	,
where	WRB
a	DT
crowd	NN
of	IN
drunken	JJ
Irishmen	NNPS
are	VBP
puffing	VBG
Lynchburg	NNP
tobacco	NN
in	IN
their	PRP$
pipes	NNS
.	.

I	PRP
can	MD
detect	VB
the	DT
scent	NN
through	IN
all	PDT
the	DT
foul	JJ
smells	VBZ
ranging	VBG
loose	RB
in	IN
the	DT
air	NN
.	.

The	DT
idiosyncrasy	NN
of	IN
this	DT
town	NN
is	VBZ
smoke	NN
.	.

It	PRP
rolls	VBZ
sullenly	RB
in	IN
slow	JJ
folds	VBZ
from	IN
the	DT
great	JJ
chimneys	NNS
of	IN
the	DT
iron-foundries	NNS
,	,
and	CC
settles	VBZ
down	RP
in	IN
black	JJ
,	,
slimy	JJ
pools	NNS
on	IN
the	DT
muddy	JJ
streets	NNS
.	.

Smoke	NN
on	IN
the	DT
wharves	NNS
,	,
smoke	NN
on	IN
the	DT
dingy	JJ
boats	NNS
,	,
on	IN
the	DT
yellow	JJ
river	NN
,	,
--	:
clinging	VBG
in	IN
a	DT
coating	NN
of	IN
greasy	JJ
soot	NN
to	TO
the	DT
house-front	NN
,	,
the	DT
two	CD
faded	VBD
poplars	NNS
,	,
the	DT
faces	NNS
of	IN
the	DT
passers-by	NNS
.	.

The	DT
long	JJ
train	NN
of	IN
mules	NNS
,	,
dragging	VBG
masses	NNS
of	IN
pig-iron	NN
through	IN
the	DT
narrow	JJ
street	NN
,	,
have	VBP
a	DT
foul	JJ
vapor	NN
hanging	VBG
to	TO
their	PRP$
reeking	VBG
sides	NNS
.	.

Here	RB
,	,
inside	RB
,	,
is	VBZ
a	DT
little	JJ
broken	JJ
figure	NN
of	IN
an	DT
angel	NN
pointing	VBG
upward	RB
from	IN
the	DT
mantel-shelf	NN
;	:
but	CC
even	RB
its	PRP$
wings	NNS
are	VBP
covered	VBN
with	IN
smoke	NN
,	,
clotted	JJ
and	CC
black	JJ
.	.

Smoke	NN
everywhere	RB
!	.

A	DT
dirty	JJ
canary	JJ
chirps	NNS
desolately	RB
in	IN
a	DT
cage	NN
beside	IN
me	PRP
.	.

Its	PRP$
dream	NN
of	IN
green	JJ
fields	NNS
and	CC
sunshine	NN
is	VBZ
a	DT
very	RB
old	JJ
dream	NN
,	,
--	:
almost	RB
worn	VBN
out	RP
,	,
I	PRP
think	VBP
.	.

From	IN
the	DT
back-window	NN
I	PRP
can	MD
see	VB
a	DT
narrow	JJ
brick-yard	JJ
sloping	NN
down	IN
to	TO
the	DT
river-side	JJ
,	,
strewed	VBN
with	IN
rain-butts	NNS
and	CC
tubs	NNS
.	.

The	DT
river	NN
,	,
dull	JJ
and	CC
tawny-colored	JJ
,	,
-LRB-	-LRB-
la	NNP
belle	FW
riviere	FW
!	.
-RRB-	-RRB-

drags	VBZ
itself	PRP
sluggishly	RB
along	RB
,	,
tired	JJ
of	IN
the	DT
heavy	JJ
weight	NN
of	IN
boats	NNS
and	CC
coal-barges	NNS
.	.

What	WDT
wonder	NN
?	.

When	WRB
I	PRP
was	VBD
a	DT
child	NN
,	,
I	PRP
used	VBD
to	TO
fancy	JJ
a	DT
look	NN
of	IN
weary	JJ
,	,
dumb	JJ
appeal	NN
upon	IN
the	DT
face	NN
of	IN
the	DT
negro-like	JJ
river	NN
slavishly	RB
bearing	VBG
its	PRP$
burden	NN
day	NN
after	IN
day	NN
.	.

Something	NN
of	IN
the	DT
same	JJ
idle	JJ
notion	NN
comes	VBZ
to	TO
me	PRP
to-day	JJ
,	,
when	WRB
from	IN
the	DT
street-window	JJ
I	PRP
look	VBP
on	IN
the	DT
slow	JJ
stream	NN
of	IN
human	JJ
life	NN
creeping	VBG
past	NN
,	,
night	NN
and	CC
morning	NN
,	,
to	TO
the	DT
great	JJ
mills	NNS
.	.

Masses	NNS
of	IN
men	NNS
,	,
with	IN
dull	JJ
,	,
besotted	JJ
faces	NNS
bent	JJ
to	TO
the	DT
ground	NN
,	,
sharpened	VBN
here	RB
and	CC
there	RB
by	IN
pain	NN
or	CC
cunning	JJ
;	:
skin	NN
and	CC
muscle	NN
and	CC
flesh	NN
begrimed	VBN
with	IN
smoke	NN
and	CC
ashes	NNS
;	:
stooping	VBG
all	DT
night	NN
over	IN
boiling	JJ
caldrons	NNS
of	IN
metal	NN
,	,
laired	VBN
by	IN
day	NN
in	IN
dens	NNS
of	IN
drunkenness	NN
and	CC
infamy	NN
;	:
breathing	NN
from	IN
infancy	NN
to	TO
death	NN
an	DT
air	NN
saturated	VBN
with	IN
fog	NN
and	CC
grease	NN
and	CC
soot	NN
,	,
vileness	NN
