THE	DT
SCARLET	JJ
LETTER	NN
by	IN
Nathaniel	NNP
Hawthorne	NNP
THE	DT
CUSTOM-HOUSE	NN
INTRODUCTORY	NN
TO	TO
``	``
THE	DT
SCARLET	JJ
LETTER	NN
''	''
It	PRP
is	VBZ
a	DT
little	JJ
remarkable	JJ
,	,
that	DT
--	:
though	IN
disinclined	VBN
to	TO
talk	VB
overmuch	NN
of	IN
myself	PRP
and	CC
my	PRP$
affairs	NNS
at	IN
the	DT
fireside	NN
,	,
and	CC
to	TO
my	PRP$
personal	JJ
friends	NNS
--	:
an	DT
autobiographical	JJ
impulse	NN
should	MD
twice	RB
in	IN
my	PRP$
life	NN
have	VBP
taken	VBN
possession	NN
of	IN
me	PRP
,	,
in	IN
addressing	VBG
the	DT
public	NN
.	.

The	DT
first	JJ
time	NN
was	VBD
three	CD
or	CC
four	CD
years	NNS
since	IN
,	,
when	WRB
I	PRP
favoured	VBD
the	DT
reader	NN
--	:
inexcusably	RB
,	,
and	CC
for	IN
no	DT
earthly	JJ
reason	NN
that	WDT
either	CC
the	DT
indulgent	JJ
reader	NN
or	CC
the	DT
intrusive	JJ
author	NN
could	MD
imagine	VB
--	:
with	IN
a	DT
description	NN
of	IN
my	PRP$
way	NN
of	IN
life	NN
in	IN
the	DT
deep	JJ
quietude	NN
of	IN
an	DT
Old	JJ
Manse	NN
.	.

And	CC
now	RB
--	:
because	RB
,	,
beyond	IN
my	PRP$
deserts	NNS
,	,
I	PRP
was	VBD
happy	JJ
enough	JJ
to	TO
find	VB
a	DT
listener	NN
or	CC
two	CD
on	IN
the	DT
former	JJ
occasion	NN
--	:
I	PRP
again	RB
seize	VB
the	DT
public	NN
by	IN
the	DT
button	NN
,	,
and	CC
talk	NN
of	IN
my	PRP$
three	CD
years	NNS
'	POS
experience	NN
in	IN
a	DT
Custom-House	NN
.	.

The	DT
example	NN
of	IN
the	DT
famous	JJ
``	``
P.	NNP
P.	NNP
,	,
Clerk	NNP
of	IN
this	DT
Parish	NN
,	,
''	''
was	VBD
never	RB
more	RBR
faithfully	RB
followed	VBN
.	.

The	DT
truth	NN
seems	VBZ
to	TO
be	VB
,	,
however	RB
,	,
that	IN
when	WRB
he	PRP
casts	VBZ
his	PRP$
leaves	NNS
forth	RB
upon	IN
the	DT
wind	NN
,	,
the	DT
author	NN
addresses	NNS
,	,
not	RB
the	DT
many	JJ
who	WP
will	MD
fling	VB
aside	RB
his	PRP$
volume	NN
,	,
or	CC
never	RB
take	VB
it	PRP
up	RP
,	,
but	CC
the	DT
few	JJ
who	WP
will	MD
understand	VB
him	PRP
better	JJR
than	IN
most	JJS
of	IN
his	PRP$
schoolmates	NNS
or	CC
lifemates	NNS
.	.

Some	DT
authors	NNS
,	,
indeed	RB
,	,
do	VBP
far	RB
more	JJR
than	IN
this	DT
,	,
and	CC
indulge	VBP
themselves	PRP
in	IN
such	JJ
confidential	JJ
depths	NNS
of	IN
revelation	NN
as	IN
could	MD
fittingly	RB
be	VB
addressed	VBN
only	RB
and	CC
exclusively	RB
to	TO
the	DT
one	CD
heart	NN
and	CC
mind	NN
of	IN
perfect	JJ
sympathy	NN
;	:
as	IN
if	IN
the	DT
printed	VBN
book	NN
,	,
thrown	VBN
at	IN
large	JJ
on	IN
the	DT
wide	JJ
world	NN
,	,
were	VBD
certain	JJ
to	TO
find	VB
out	RP
the	DT
divided	VBN
segment	NN
of	IN
the	DT
writer	NN
's	POS
own	JJ
nature	NN
,	,
and	CC
complete	VB
his	PRP$
circle	NN
of	IN
existence	NN
by	IN
bringing	VBG
him	PRP
into	IN
communion	NN
with	IN
it	PRP
.	.

It	PRP
is	VBZ
scarcely	RB
decorous	JJ
,	,
however	RB
,	,
to	TO
speak	VB
all	DT
,	,
even	RB
where	WRB
we	PRP
speak	VBP
impersonally	RB
.	.

But	CC
,	,
as	IN
thoughts	NNS
are	VBP
frozen	JJ
and	CC
utterance	NN
benumbed	VBD
,	,
unless	IN
the	DT
speaker	NN
stand	VB
in	IN
some	DT
true	JJ
relation	NN
with	IN
his	PRP$
audience	NN
,	,
it	PRP
may	MD
be	VB
pardonable	JJ
to	TO
imagine	VB
that	IN
a	DT
friend	NN
,	,
a	DT
kind	NN
and	CC
apprehensive	JJ
,	,
though	IN
not	RB
the	DT
closest	JJS
friend	NN
,	,
is	VBZ
listening	VBG
to	TO
our	PRP$
talk	NN
;	:
and	CC
then	RB
,	,
a	DT
native	JJ
reserve	NN
being	VBG
thawed	VBN
by	IN
this	DT
genial	JJ
consciousness	NN
,	,
we	PRP
may	MD
prate	VB
of	IN
the	DT
circumstances	NNS
that	WDT
lie	VBP
around	IN
us	PRP
,	,
and	CC
even	RB
of	IN
ourself	NN
,	,
but	CC
still	RB
keep	VB
the	DT
inmost	JJS
Me	PRP
behind	IN
its	PRP$
veil	NN
.	.

To	TO
this	DT
extent	NN
,	,
and	CC
within	IN
these	DT
limits	NNS
,	,
an	DT
author	NN
,	,
methinks	NNS
,	,
may	MD
be	VB
autobiographical	JJ
,	,
without	IN
violating	VBG
either	CC
the	DT
reader	NN
's	POS
rights	NNS
or	CC
his	PRP$
own	JJ
.	.

It	PRP
will	MD
be	VB
seen	VBN
,	,
likewise	RB
,	,
that	IN
this	DT
Custom-House	JJ
sketch	NN
has	VBZ
a	DT
certain	JJ
propriety	NN
,	,
of	IN
a	DT
kind	NN
always	RB
recognised	VBN
in	IN
literature	NN
,	,
as	IN
explaining	VBG
how	WRB
a	DT
large	JJ
portion	NN
of	IN
