THE	DT
RISE	NN
OF	IN
SILAS	NNP
LAPHAM	NNP
by	IN
William	NNP
Dean	NNP
Howells	NNP
I	PRP
.	.

WHEN	WRB
Bartley	NNP
Hubbard	NNP
went	VBD
to	TO
interview	VB
Silas	NNP
Lapham	NNP
for	IN
the	DT
``	``
Solid	JJ
Men	NN
of	IN
Boston	NNP
''	''
series	NN
,	,
which	WDT
he	PRP
undertook	VBD
to	TO
finish	VB
up	RP
in	IN
The	DT
Events	NNS
,	,
after	IN
he	PRP
replaced	VBD
their	PRP$
original	JJ
projector	NN
on	IN
that	DT
newspaper	NN
,	,
Lapham	NNP
received	VBD
him	PRP
in	IN
his	PRP$
private	JJ
office	NN
by	IN
previous	JJ
appointment	NN
.	.

``	``
Walk	VB
right	NN
in	IN
!	.
''	''

he	PRP
called	VBD
out	RP
to	TO
the	DT
journalist	NN
,	,
whom	WP
he	PRP
caught	VBD
sight	NN
of	IN
through	IN
the	DT
door	NN
of	IN
the	DT
counting-room	NN
.	.

He	PRP
did	VBD
not	RB
rise	VB
from	IN
the	DT
desk	NN
at	IN
which	WDT
he	PRP
was	VBD
writing	VBG
,	,
but	CC
he	PRP
gave	VBD
Bartley	NNP
his	PRP$
left	JJ
hand	NN
for	IN
welcome	JJ
,	,
and	CC
he	PRP
rolled	VBD
his	PRP$
large	JJ
head	NN
in	IN
the	DT
direction	NN
of	IN
a	DT
vacant	JJ
chair	NN
.	.

``	``
Sit	VB
down	RB
!	.

I	PRP
'll	MD
be	VB
with	IN
you	PRP
in	IN
just	RB
half	PDT
a	DT
minute	NN
.	.
''	''

``	``
Take	VB
your	PRP$
time	NN
,	,
''	''
said	VBD
Bartley	NNP
,	,
with	IN
the	DT
ease	NN
he	PRP
instantly	RB
felt	VBD
.	.

``	``
I	PRP
'm	VBP
in	IN
no	DT
hurry	NN
.	.
''	''

He	PRP
took	VBD
a	DT
note-book	NN
from	IN
his	PRP$
pocket	NN
,	,
laid	VBD
it	PRP
on	IN
his	PRP$
knee	NN
,	,
and	CC
began	VBD
to	TO
sharpen	VB
a	DT
pencil	NN
.	.

``	``
There	EX
!	.
''	''

Lapham	NNP
pounded	VBD
with	IN
his	PRP$
great	JJ
hairy	JJ
fist	NN
on	IN
the	DT
envelope	NN
he	PRP
had	VBD
been	VBN
addressing	VBG
.	.

``	``
William	NNP
!	.
''	''

he	PRP
called	VBD
out	RP
,	,
and	CC
he	PRP
handed	VBD
the	DT
letter	NN
to	TO
a	DT
boy	NN
who	WP
came	VBD
to	TO
get	VB
it	PRP
.	.

``	``
I	PRP
want	VBP
that	IN
to	TO
go	VB
right	RB
away	RB
.	.

Well	RB
,	,
sir	NN
,	,
''	''
he	PRP
continued	VBD
,	,
wheeling	NN
round	NN
in	IN
his	PRP$
leather-cushioned	JJ
swivel-chair	NN
,	,
and	CC
facing	VBG
Bartley	NNP
,	,
seated	VBN
so	RB
near	IN
that	DT
their	PRP$
knees	NNS
almost	RB
touched	VBD
,	,
``	``
so	RB
you	PRP
want	VBP
my	PRP$
life	NN
,	,
death	NN
,	,
and	CC
Christian	NNP
sufferings	NNS
,	,
do	VBP
you	PRP
,	,
young	JJ
man	NN
?	.
''	''

``	``
That	DT
's	VBZ
what	WP
I	PRP
'm	VBP
after	IN
,	,
''	''
said	VBD
Bartley	NNP
.	.

``	``
Your	PRP$
money	NN
or	CC
your	PRP$
life	NN
.	.
''	''

``	``
I	PRP
guess	VBP
you	PRP
would	MD
n't	RB
want	VB
my	PRP$
life	NN
without	IN
the	DT
money	NN
,	,
''	''
said	VBD
Lapham	NNP
,	,
as	IN
if	IN
he	PRP
were	VBD
willing	JJ
to	TO
prolong	VB
these	DT
moments	NNS
of	IN
preparation	NN
.	.

``	``
Take	VB
'em	PRP
both	DT
,	,
''	''
Bartley	NNP
suggested	VBD
.	.

``	``
Do	VBP
n't	RB
want	VB
your	PRP$
money	NN
without	IN
your	PRP$
life	NN
,	,
if	IN
you	PRP
come	VBP
to	TO
that	DT
.	.

But	CC
you	PRP
're	VBP
just	RB
one	CD
million	CD
times	NNS
more	RBR
interesting	JJ
to	TO
the	DT
public	JJ
than	IN
if	IN
you	PRP
had	VBD
n't	RB
a	DT
dollar	NN
;	:
and	CC
you	PRP
know	VBP
that	IN
as	RB
well	RB
as	IN
I	PRP
do	VBP
,	,
Mr.	NNP
Lapham	NNP
.	.

There	EX
's	VBZ
no	DT
use	NN
beating	VBG
about	IN
the	DT
bush	NN
.	.
''	''

``	``
No	UH
,	,
''	''
said	VBD
Lapham	NNP
,	,
somewhat	RB
absently	RB
.	.

He	PRP
put	VBD
out	RP
his	PRP$
huge	JJ
foot	NN
and	CC
pushed	VBD
the	DT
ground-glass	JJ
door	NN
shut	VBD
between	IN
his	PRP$
little	JJ
den	NN
and	CC
the	DT
book-keepers	NNS
,	,
in	IN
their	PRP$
larger	JJR
den	NN
outside	NN
.	.

``	``
In	IN
personal	JJ
appearance	NN
,	,
''	''
wrote	VBD
Bartley	NNP
in	IN
the	DT
sketch	NN
for	IN
which	WDT
he	PRP
now	RB
studied	VBD
his	PRP$
subject	NN
,	,
while	IN
he	PRP
waited	VBD
patiently	RB
for	IN
him	PRP
to	TO
continue	VB
,	,
``	``
Silas	NNP
Lapham	NNP
is	VBZ
a	DT
fine	JJ
type	NN
of	IN
the	DT
successful	JJ
American	NNP
.	.

He	PRP
has	VBZ
a	DT
square	NN
,	,
bold	JJ
chin	NN
,	,
only	RB
partially	RB
concealed	VBN
by	IN
the	DT
short	JJ
reddish-grey	JJ
beard	NN
,	,
growing	VBG
to	TO
the	DT
edges	NNS
of	IN
his	PRP$
firmly	RB
closing	VBG
lips	NNS
.	.

His	PRP$
nose	NN
is	VBZ
short	JJ
and	CC
straight	JJ
;	:
his	PRP$
forehead	NN
good	JJ
,	,
but	CC
broad	JJ
rather	RB
than	IN
high	JJ
;	:
his	PRP$
eyes	NNS
blue	JJ
,	,
and	CC
with	IN
a	DT
light	NN
in	IN
them	PRP
that	DT
is	VBZ
kindly	RB
or	CC
sharp	JJ
according	VBG
to	TO
his	PRP$
mood	NN
.	.

He	PRP
is	VBZ
of	IN
medium	NN
height	NN
,	,
and	CC
fills	VBZ
an	DT
average	JJ
arm-chair	JJ
with	IN
a	DT
solid	JJ
bulk	NN
,	,
which	WDT
on	IN
the	DT
day	NN
of	IN
our	PRP$
interview	NN
was	VBD
unpretentiously	RB
clad	VBN
in	IN
a	DT
business	NN
suit	NN
of	IN
blue	JJ
serge	NN
.	.

His	PRP$
head	NN
droops	VBZ
somewhat	RB
from	IN
a	DT
short	JJ
neck	NN
,	,
which	WDT
does	VBZ
not	RB
trouble	NN
itself	PRP
to	TO
rise	VB
far	RB
from	IN
a	DT
pair	NN
of	IN
massive	JJ
shoulders	NNS
.	.
''	''

``	``
I	PRP
do	VBP
n't	RB
know	VB
as	IN
I	PRP
know	VBP
just	RB
where	WRB
you	PRP
want	VBP
me	PRP
to	TO
begin	VB
,	,
''	''
said	VBD
Lapham	NNP
.	.

``	``
Might	NN
begin	VB
with	IN
your	PRP$
birth	NN
;	:
that	DT
's	VBZ
where	WRB
most	JJS
of	IN
us	PRP
begin	VB
,	,
''	''
replied	VBD
Bartley	NNP
.	.

A	DT
gleam	NN
of	IN
humorous	JJ
appreciation	NN
shot	NN
into	IN
Lapham	NNP
's	POS
blue	JJ
eyes	NNS
.	.

``	``
I	PRP
did	VBD
n't	RB
know	VB
whether	IN
you	PRP
wanted	VBD
me	PRP
to	TO
go	VB
quite	RB
so	RB
far	RB
back	RB
as	IN
that	DT
,	,
''	''
he	PRP
said	VBD
.	.

``	``
But	CC
there	EX
's	VBZ
no	DT
disgrace	NN
in	IN
having	VBG
been	VBN
born	VBN
,	,
and	CC
I	PRP
was	VBD
born	VBN
in	IN
the	DT
State	NN
of	IN
Vermont	NNP
,	,
pretty	RB
well	RB
up	IN
under	IN
the	DT
Canada	NNP
line	NN
--	:
so	RB
well	RB
up	RB
,	,
in	IN
fact	NN
,	,
that	IN
I	PRP
came	VBD
very	RB
near	IN
being	VBG
an	DT
adoptive	JJ
citizen	NN
;	:
for	IN
I	PRP
was	VBD
bound	VBN
to	TO
be	VB
an	DT
American	JJ
of	IN
SOME	NNP
sort	NN
,	,
from	IN
the	DT
word	NN
Go	VB
!	.

That	DT
was	VBD
