MOBY	NNP
DICK	NNP
;	:
OR	NN
THE	DT
WHALE	NN
By	IN
Herman	NNP
Melville	NNP
ETYMOLOGY	NNP
.	.

-LRB-	-LRB-
Supplied	VBN
by	IN
a	DT
Late	JJ
Consumptive	JJ
Usher	NN
to	TO
a	DT
Grammar	NNP
School	NNP
-RRB-	-RRB-
The	DT
pale	JJ
Usher	NNP
--	:
threadbare	JJ
in	IN
coat	NN
,	,
heart	NN
,	,
body	NN
,	,
and	CC
brain	NN
;	:
I	PRP
see	VBP
him	PRP
now	RB
.	.

He	PRP
was	VBD
ever	RB
dusting	VBG
his	PRP$
old	JJ
lexicons	NNS
and	CC
grammars	NNS
,	,
with	IN
a	DT
queer	NN
handkerchief	NN
,	,
mockingly	RB
embellished	VBN
with	IN
all	PDT
the	DT
gay	JJ
flags	NNS
of	IN
all	PDT
the	DT
known	JJ
nations	NNS
of	IN
the	DT
world	NN
.	.

He	PRP
loved	VBD
to	TO
dust	NN
his	PRP$
old	JJ
grammars	NNS
;	:
it	PRP
somehow	RB
mildly	RB
reminded	VBD
him	PRP
of	IN
his	PRP$
mortality	NN
.	.

``	``
While	IN
you	PRP
take	VBP
in	RP
hand	NN
to	TO
school	NN
others	NNS
,	,
and	CC
to	TO
teach	VB
them	PRP
by	IN
what	WDT
name	NN
a	DT
whale-fish	JJ
is	VBZ
to	TO
be	VB
called	VBN
in	IN
our	PRP$
tongue	NN
leaving	VBG
out	RP
,	,
through	IN
ignorance	NN
,	,
the	DT
letter	NN
H	NN
,	,
which	WDT
almost	RB
alone	RB
maketh	VBP
the	DT
signification	NN
of	IN
the	DT
word	NN
,	,
you	PRP
deliver	VBP
that	IN
which	WDT
is	VBZ
not	RB
true	JJ
.	.
''	''

--	:
HACKLUYT	NNP
``	``
WHALE	NNP
...	:
.	.

Sw	NN
.	.

and	CC
Dan	NNP
.	.

HVAL	NN
.	.

This	DT
animal	NN
is	VBZ
named	VBN
from	IN
roundness	NN
or	CC
rolling	NN
;	:
for	IN
in	IN
Dan	NNP
.	.

HVALT	NNP
is	VBZ
arched	JJ
or	CC
vaulted	JJ
.	.
''	''

--	:
WEBSTER	NNP
'S	POS
DICTIONARY	NN
``	``
WHALE	NN
...	:
.	.

It	PRP
is	VBZ
more	RBR
immediately	RB
from	IN
the	DT
Dut	NNP
.	.

and	CC
Ger	NNP
.	.

WALLEN	NNP
;	:
A.S.	NNP
WALW-IAN	NNP
,	,
to	TO
roll	VB
,	,
to	TO
wallow	VB
.	.
''	''

--	:
RICHARDSON	NNP
'S	POS
DICTIONARY	NNP
KETOS	NNP
,	,
GREEK	NNP
.	.

CETUS	NNP
,	,
LATIN	NNP
.	.

WHOEL	NNP
,	,
ANGLO-SAXON	NNP
.	.

HVALT	NNP
,	,
DANISH	NNP
.	.

WAL	NNP
,	,
DUTCH	NNP
.	.

HWAL	NNP
,	,
SWEDISH	NNP
.	.

WHALE	NN
,	,
ICELANDIC	NN
.	.

WHALE	NN
,	,
ENGLISH	NNP
.	.

BALEINE	NNP
,	,
FRENCH	NNP
.	.

BALLENA	NNP
,	,
SPANISH	NNP
.	.

PEKEE-NUEE-NUEE	NN
,	,
FEGEE	NN
.	.

PEHEE-NUEE-NUEE	NN
,	,
ERROMANGOAN	NNP
.	.

EXTRACTS	NNS
-LRB-	-LRB-
Supplied	VBN
by	IN
a	DT
Sub-Sub-Librarian	JJ
-RRB-	-RRB-
.	.

It	PRP
will	MD
be	VB
seen	VBN
that	IN
this	DT
mere	JJ
painstaking	JJ
burrower	NN
and	CC
grub-worm	NN
of	IN
a	DT
poor	JJ
devil	NNP
of	IN
a	DT
Sub-Sub	NN
appears	VBZ
to	TO
have	VB
gone	VBN
through	IN
the	DT
long	JJ
Vaticans	NNP
and	CC
street-stalls	NNS
of	IN
the	DT
earth	NN
,	,
picking	VBG
up	RP
whatever	WDT
random	JJ
allusions	NNS
to	TO
whales	NNS
he	PRP
could	MD
anyways	RB
find	VB
in	IN
any	DT
book	NN
whatsoever	RB
,	,
sacred	JJ
or	CC
profane	JJ
.	.

Therefore	RB
you	PRP
must	MD
not	RB
,	,
in	IN
every	DT
case	NN
at	IN
least	JJS
,	,
take	VB
the	DT
higgledy-piggledy	JJ
whale	NN
statements	NNS
,	,
however	RB
authentic	JJ
,	,
in	IN
these	DT
extracts	NNS
,	,
for	IN
veritable	JJ
gospel	NN
cetology	NN
.	.

Far	RB
from	IN
it	PRP
.	.

As	IN
touching	VBG
the	DT
ancient	JJ
authors	NNS
generally	RB
,	,
as	RB
well	RB
as	IN
the	DT
poets	NNS
here	RB
appearing	VBG
,	,
these	DT
extracts	NNS
are	VBP
solely	RB
valuable	JJ
or	CC
entertaining	JJ
,	,
as	IN
affording	VBG
a	DT
glancing	VBG
bird	NN
's	POS
eye	NN
view	NN
of	IN
what	WP
has	VBZ
been	VBN
promiscuously	RB
said	VBD
,	,
thought	VBD
,	,
fancied	VBD
,	,
and	CC
sung	VBN
of	IN
Leviathan	NNP
,	,
by	IN
many	JJ
nations	NNS
and	CC
generations	NNS
,	,
including	VBG
our	PRP$
own	JJ
.	.

So	IN
fare	NN
thee	PRP
well	RB
,	,
poor	JJ
devil	NNP
of	IN
a	DT
Sub-Sub	NNP
,	,
whose	WP$
commentator	NN
I	PRP
am	VBP
.	.

Thou	PRP
belongest	JJ
to	TO
that	DT
hopeless	JJ
,	,
sallow	JJ
tribe	NN
which	WDT
no	DT
wine	NN
of	IN
this	DT
world	NN
will	MD
ever	RB
warm	VB
;	:
and	CC
for	IN
whom	WP
even	RB
Pale	NNP
Sherry	NNP
would	MD
be	VB
too	RB
rosy-strong	JJ
;	:
but	CC
with	IN
whom	WP
one	CD
sometimes	RB
loves	VBZ
to	TO
sit	VB
,	,
and	CC
feel	VB
poor-devilish	JJ
,	,
too	RB
;	:
and	CC
grow	VB
convivial	JJ
upon	IN
tears	NNS
;	:
and	CC
say	VBP
to	TO
them	PRP
bluntly	RB
,	,
with	IN
full	JJ
eyes	NNS
and	CC
empty	JJ
glasses	NNS
,	,
and	CC
in	IN
not	RB
altogether	RB
unpleasant	JJ
sadness	NN
--	:
Give	VB
it	PRP
up	RP
,	,
Sub-Subs	NNP
!	.

For	IN
by	IN
how	WRB
much	JJ
the	DT
more	RBR
pains	NNS
ye	PRP
take	VBP
to	TO
please	VB
the	DT
world	NN
,	,
by	IN
so	RB
much	JJ
the	DT
more	RBR
shall	MD
ye	PRP
for	IN
ever	RB
go	VB
thankless	JJ
!	.

Would	MD
that	IN
I	PRP
could	MD
clear	VB
out	RP
Hampton	NNP
Court	NNP
and	CC
the	DT
Tuileries	NNPS
for	IN
ye	PRP
!	.

But	CC
gulp	VB
down	RP
your	PRP$
tears	NNS
and	CC
hie	NN
aloft	RB
to	TO
the	DT
royal-mast	NN
with	IN
your	PRP$
hearts	NNS
;	:
for	IN
your	PRP$
friends	NNS
who	WP
have	VBP
gone	VBN
before	RB
are	VBP
clearing	VBG
out	IN
the	DT
seven-storied	JJ
heavens	NNS
,	,
and	CC
making	VBG
refugees	NNS
of	IN
long-pampered	JJ
Gabriel	NNP
,	,
Michael	NNP
,	,
and	CC
Raphael	NNP
,	,
against	IN
your	PRP$
coming	VBG
.	.

Here	RB
ye	PRP
strike	VB
but	CC
splintered	JJ
hearts	NNS
together	RB
--	:
there	RB
,	,
ye	PRP
shall	MD
strike	VB
unsplinterable	JJ
glasses	NNS
!	.

EXTRACTS	NNS
.	.

``	``
And	CC
God	NNP
created	VBD
great	JJ
whales	NNS
.	.
''	''

--	:
GENESIS	NN
.	.

``	``
Leviathan	NNP
maketh	VBP
a	DT
path	NN
to	TO
shine	VB
after	IN
him	PRP
;	:
One	CD
would	MD
think	VB
the	DT
deep	JJ
to	TO
be	VB
hoary	JJ
.	.
''	''

--	:
JOB	NN
.	.

``	``
Now	RB
the	DT
Lord	NNP
had	VBD
prepared	VBN
a	DT
great	JJ
fish	NN
to	TO
swallow	VB
up	RP
Jonah	NNP
.	.
''	''

--	:
JONAH	NN
.	.

``	``
There	EX
go	VBP
the	DT
ships	NNS
;	:
there	EX
is	VBZ
that	IN
Leviathan	NNP
whom	WP
thou	PRP
hast	VBP
made	VBN
to	TO
play	VB
therein	RB
.	.
''	''

--	:
PSALMS	NN
.	.

``	``
In	IN
that	DT
day	NN
,	,
the	DT
Lord	NNP
with	IN
his	PRP$
sore	JJ
,	,
and	CC
great	JJ
,	,
and	CC
strong	JJ
sword	NN
,	,
shall	MD
punish	VB
Leviathan	NNP
the	DT
piercing	VBG
serpent	NN
,	,
even	RB
Leviathan	NNP
that	IN
crooked	JJ
serpent	NN
;	:
and	CC
he	PRP
shall	MD
slay	VB
the	DT
dragon	NN
that	WDT
is	VBZ
in	IN
the	DT
sea	NN
.	.
''	''

--	:
ISAIAH	NNP
``	``
And	CC
what	WP
thing	NN
soever	JJ
besides	IN
cometh	NN
within	IN
the	DT
chaos	NN
of	IN
this	DT
monster	NN
's	POS
mouth	NN
,	,
be	VB
it	PRP
beast	NN
,	,
boat	NN
,	,
or	CC
stone	NN
,	,
down	IN
it	PRP
goes	VBZ
all	DT
incontinently	RB
that	IN
foul	JJ
great	JJ
swallow	VB
of	IN
his	PRP$
,	,
and	CC
perisheth	NN
in	IN
the	DT
bottomless	JJ
gulf	NN
of	IN
his	PRP$
paunch	NN
.	.
''	''

--	:
HOLLAND	NNP
'S	POS
PLUTARCH	NNP
'S	POS
MORALS	NN
.	.

``	``
The	DT
Indian	NNP
Sea	NNP
breedeth	VBP
the	DT
most	RBS
and	CC
the	DT
biggest	JJS
fishes	NNS
that	WDT
are	VBP
:	:
among	IN
which	WDT
the	DT
Whales	NNPS
and	CC
Whirlpooles	NNPS
called	VBD
