JANE	NNP
EYRE	NNP
AN	DT
AUTOBIOGRAPHY	NN
BY	IN
CHARLOTTE	NNP
BRONTE	NNP
TO	TO
W.	NNP
M.	NNP
THACKERAY	NNP
,	,
ESQ.	NNP
,	,
This	DT
Work	NN
IS	VBZ
RESPECTFULLY	NNP
INSCRIBED	NNP
BY	IN
THE	DT
AUTHOR	NN
CHAPTER	NN
I	PRP
There	EX
was	VBD
no	DT
possibility	NN
of	IN
taking	VBG
a	DT
walk	NN
that	WDT
day	NN
.	.

We	PRP
had	VBD
been	VBN
wandering	VBG
,	,
indeed	RB
,	,
in	IN
the	DT
leafless	JJ
shrubbery	NN
an	DT
hour	NN
in	IN
the	DT
morning	NN
;	:
but	CC
since	IN
dinner	NN
-LRB-	-LRB-
Mrs.	NNP
Reed	NNP
,	,
when	WRB
there	EX
was	VBD
no	DT
company	NN
,	,
dined	VBD
early	RB
-RRB-	-RRB-
the	DT
cold	JJ
winter	NN
wind	NN
had	VBD
brought	VBN
with	IN
it	PRP
clouds	VBZ
so	RB
sombre	JJ
,	,
and	CC
a	DT
rain	NN
so	RB
penetrating	VBG
,	,
that	IN
further	JJ
out-door	JJ
exercise	NN
was	VBD
now	RB
out	IN
of	IN
the	DT
question	NN
.	.

I	PRP
was	VBD
glad	JJ
of	IN
it	PRP
:	:
I	PRP
never	RB
liked	VBD
long	JJ
walks	VBZ
,	,
especially	RB
on	IN
chilly	JJ
afternoons	NNS
:	:
dreadful	JJ
to	TO
me	PRP
was	VBD
the	DT
coming	VBG
home	NN
in	IN
the	DT
raw	JJ
twilight	NN
,	,
with	IN
nipped	JJ
fingers	NNS
and	CC
toes	NNS
,	,
and	CC
a	DT
heart	NN
saddened	VBN
by	IN
the	DT
chidings	NNS
of	IN
Bessie	NNP
,	,
the	DT
nurse	NN
,	,
and	CC
humbled	VBN
by	IN
the	DT
consciousness	NN
of	IN
my	PRP$
physical	JJ
inferiority	NN
to	TO
Eliza	NNP
,	,
John	NNP
,	,
and	CC
Georgiana	NNP
Reed	NNP
.	.

The	DT
said	VBD
Eliza	NNP
,	,
John	NNP
,	,
and	CC
Georgiana	NNP
were	VBD
now	RB
clustered	VBN
round	NN
their	PRP$
mama	NN
in	IN
the	DT
drawing-room	NN
:	:
she	PRP
lay	VBD
reclined	VBN
on	IN
a	DT
sofa	NN
by	IN
the	DT
fireside	NN
,	,
and	CC
with	IN
her	PRP$
darlings	NNS
about	IN
her	PRP$
-LRB-	-LRB-
for	IN
the	DT
time	NN
neither	CC
quarrelling	VBG
nor	CC
crying	VBG
-RRB-	-RRB-
looked	VBD
perfectly	RB
happy	JJ
.	.

Me	PRP
,	,
she	PRP
had	VBD
dispensed	VBN
from	IN
joining	VBG
the	DT
group	NN
;	:
saying	VBG
,	,
``	``
She	PRP
regretted	VBD
to	TO
be	VB
under	IN
the	DT
necessity	NN
of	IN
keeping	VBG
me	PRP
at	IN
a	DT
distance	NN
;	:
but	CC
that	IN
until	IN
she	PRP
heard	VBD
from	IN
Bessie	NNP
,	,
and	CC
could	MD
discover	VB
by	IN
her	PRP$
own	JJ
observation	NN
,	,
that	IN
I	PRP
was	VBD
endeavouring	VBG
in	IN
good	JJ
earnest	NN
to	TO
acquire	VB
a	DT
more	RBR
sociable	JJ
and	CC
childlike	JJ
disposition	NN
,	,
a	DT
more	RBR
attractive	JJ
and	CC
sprightly	JJ
manner	NN
--	:
something	NN
lighter	JJR
,	,
franker	NN
,	,
more	JJR
natural	JJ
,	,
as	IN
it	PRP
were	VBD
--	:
she	PRP
really	RB
must	MD
exclude	VB
me	PRP
from	IN
privileges	NNS
intended	VBN
only	RB
for	IN
contented	JJ
,	,
happy	JJ
,	,
little	JJ
children	NNS
.	.
''	''

``	``
What	WP
does	VBZ
Bessie	NNP
say	VB
I	PRP
have	VBP
done	VBN
?	.
''	''

I	PRP
asked	VBD
.	.

``	``
Jane	NNP
,	,
I	PRP
do	VBP
n't	RB
like	VB
cavillers	NNS
or	CC
questioners	NNS
;	:
besides	IN
,	,
there	EX
is	VBZ
something	NN
truly	RB
forbidding	VBG
in	IN
a	DT
child	NN
taking	VBG
up	RP
her	PRP$
elders	NNS
in	IN
that	DT
manner	NN
.	.

Be	VB
seated	VBN
somewhere	RB
;	:
and	CC
until	IN
you	PRP
can	MD
speak	VB
pleasantly	RB
,	,
remain	VBP
silent	JJ
.	.
''	''

A	DT
breakfast-room	NN
adjoined	VBD
the	DT
drawing-room	NN
,	,
I	PRP
slipped	VBD
in	IN
there	RB
.	.

It	PRP
contained	VBD
a	DT
bookcase	NN
:	:
I	PRP
soon	RB
possessed	VBD
myself	PRP
of	IN
a	DT
volume	NN
,	,
taking	VBG
care	NN
that	IN
it	PRP
should	MD
be	VB
one	CD
stored	VBN
with	IN
pictures	NNS
.	.

I	PRP
mounted	VBD
into	IN
the	DT
window	NN
-	:
seat	NN
:	:
gathering	VBG
up	RP
my	PRP$
feet	NNS
,	,
I	PRP
sat	VBD
cross-legged	JJ
,	,
like	IN
a	DT
Turk	NNP
;	:
and	CC
,	,
having	VBG
drawn	VBN
the	DT
red	JJ
moreen	NN
curtain	NN
nearly	RB
close	RB
,	,
I	PRP
was	VBD
shrined	VBN
in	IN
double	JJ
retirement	NN
.	.

Folds	NNS
of	IN
scarlet	JJ
drapery	NN
shut	VBN
in	IN
my	PRP$
view	NN
to	TO
the	DT
right	JJ
hand	NN
;	:
to	TO
the	DT
left	VBN
were	VBD
the	DT
clear	JJ
panes	NNS
of	IN
glass	NN
,	,
protecting	VBG
,	,
but	CC
not	RB
separating	VBG
me	PRP
from	IN
the	DT
drear	NN
November	NNP
day	NN
.	.

At	IN
intervals	NNS
,	,
while	IN
turning	VBG
over	RP
the	DT
leaves	NNS
of	IN
my	PRP$
book	NN
,	,
I	PRP
studied	VBD
the	DT
aspect	NN
of	IN
that	DT
winter	NN
afternoon	NN
.	.

Afar	NNP
,	,
it	PRP
offered	VBD
a	DT
pale	JJ
blank	NN
of	IN
mist	NN
and	CC
cloud	NN
;	:
near	IN
a	DT
scene	NN
of	IN
wet	JJ
lawn	NN
and	CC
storm-beat	NN
shrub	NN
,	,
with	IN
ceaseless	JJ
rain	NN
sweeping	VBG
away	RB
wildly	RB
before	IN
a	DT
long	JJ
and	CC
lamentable	JJ
blast	NN
.	.

I	PRP
returned	VBD
to	TO
my	PRP$
book	NN
--	:
Bewick	NNP
's	POS
History	NN
of	IN
British	JJ
Birds	NNP
:	:
the	DT
letterpress	NN
thereof	RB
I	PRP
cared	VBD
little	JJ
for	IN
,	,
generally	RB
speaking	VBG
;	:
and	CC
yet	RB
there	EX
were	VBD
certain	JJ
introductory	JJ
pages	NNS
that	IN
,	,
child	NN
as	IN
I	PRP
was	VBD
,	,
I	PRP
could	MD
not	RB
pass	VB
quite	RB
as	IN
a	DT
blank	NN
.	.

They	PRP
were	VBD
those	DT
which	WDT
treat	NN
of	IN
the	DT
haunts	NNS
of	IN
