The	DT
Woman	NNP
in	IN
White	NNP
by	IN
Wilkie	NNP
Collins	NNP
THE	DT
STORY	NNP
BEGUN	NNP
BY	NNP
WALTER	NNP
HARTRIGHT	NNP
-LRB-	-LRB-
of	IN
Clement	NNP
's	POS
Inn	NNP
,	,
Teacher	NN
of	IN
Drawing	NN
-RRB-	-RRB-
This	DT
is	VBZ
the	DT
story	NN
of	IN
what	WP
a	DT
Woman	NNP
's	POS
patience	NN
can	MD
endure	VB
,	,
and	CC
what	WP
a	DT
Man	NN
's	POS
resolution	NN
can	MD
achieve	VB
.	.

If	IN
the	DT
machinery	NN
of	IN
the	DT
Law	NN
could	MD
be	VB
depended	VBN
on	IN
to	TO
fathom	NN
every	DT
case	NN
of	IN
suspicion	NN
,	,
and	CC
to	TO
conduct	VB
every	DT
process	NN
of	IN
inquiry	NN
,	,
with	IN
moderate	JJ
assistance	NN
only	RB
from	IN
the	DT
lubricating	NN
influences	VBZ
of	IN
oil	NN
of	IN
gold	NN
,	,
the	DT
events	NNS
which	WDT
fill	VBP
these	DT
pages	NNS
might	MD
have	VB
claimed	VBN
their	PRP$
share	NN
of	IN
the	DT
public	JJ
attention	NN
in	IN
a	DT
Court	NN
of	IN
Justice	NNP
.	.

But	CC
the	DT
Law	NN
is	VBZ
still	RB
,	,
in	IN
certain	JJ
inevitable	JJ
cases	NNS
,	,
the	DT
pre-engaged	JJ
servant	NN
of	IN
the	DT
long	JJ
purse	NN
;	:
and	CC
the	DT
story	NN
is	VBZ
left	VBN
to	TO
be	VB
told	VBN
,	,
for	IN
the	DT
first	JJ
time	NN
,	,
in	IN
this	DT
place	NN
.	.

As	IN
the	DT
Judge	NNP
might	MD
once	RB
have	VB
heard	VBN
it	PRP
,	,
so	IN
the	DT
Reader	NNP
shall	MD
hear	VB
it	PRP
now	RB
.	.

No	DT
circumstance	NN
of	IN
importance	NN
,	,
from	IN
the	DT
beginning	VBG
to	TO
the	DT
end	NN
of	IN
the	DT
disclosure	NN
,	,
shall	MD
be	VB
related	VBN
on	IN
hearsay	NN
evidence	NN
.	.

When	WRB
the	DT
writer	NN
of	IN
these	DT
introductory	JJ
lines	NNS
-LRB-	-LRB-
Walter	NNP
Hartright	NNP
by	IN
name	NN
-RRB-	-RRB-
happens	VBZ
to	TO
be	VB
more	RBR
closely	RB
connected	JJ
than	IN
others	NNS
with	IN
the	DT
incidents	NNS
to	TO
be	VB
recorded	VBN
,	,
he	PRP
will	MD
describe	VB
them	PRP
in	IN
his	PRP$
own	JJ
person	NN
.	.

When	WRB
his	PRP$
experience	NN
fails	VBZ
,	,
he	PRP
will	MD
retire	VB
from	IN
the	DT
position	NN
of	IN
narrator	NN
;	:
and	CC
his	PRP$
task	NN
will	MD
be	VB
continued	VBN
,	,
from	IN
the	DT
point	NN
at	IN
which	WDT
he	PRP
has	VBZ
left	VBN
it	PRP
off	RP
,	,
by	IN
other	JJ
persons	NNS
who	WP
can	MD
speak	VB
to	TO
the	DT
circumstances	NNS
under	IN
notice	NN
from	IN
their	PRP$
own	JJ
knowledge	NN
,	,
just	RB
as	IN
clearly	RB
and	CC
positively	RB
as	IN
he	PRP
has	VBZ
spoken	VBN
before	IN
them	PRP
.	.

Thus	RB
,	,
the	DT
story	NN
here	RB
presented	VBN
will	MD
be	VB
told	VBN
by	IN
more	JJR
than	IN
one	CD
pen	NN
,	,
as	IN
the	DT
story	NN
of	IN
an	DT
offence	NN
against	IN
the	DT
laws	NNS
is	VBZ
told	VBN
in	IN
Court	NNP
by	IN
more	JJR
than	IN
one	CD
witness	NN
--	:
with	IN
the	DT
same	JJ
object	NN
,	,
in	IN
both	DT
cases	NNS
,	,
to	TO
present	VB
the	DT
truth	NN
always	RB
in	IN
its	PRP$
most	RBS
direct	JJ
and	CC
most	RBS
intelligible	JJ
aspect	NN
;	:
and	CC
to	TO
trace	VB
the	DT
course	NN
of	IN
one	CD
complete	JJ
series	NN
of	IN
events	NNS
,	,
by	IN
making	VBG
the	DT
persons	NNS
who	WP
have	VBP
been	VBN
most	RBS
closely	RB
connected	VBN
with	IN
them	PRP
,	,
at	IN
each	DT
successive	JJ
stage	NN
,	,
relate	VBP
their	PRP$
own	JJ
experience	NN
,	,
word	NN
for	IN
word	NN
.	.

