SYBIL	NNP
,	,
OR	NN
THE	DT
TWO	CD
NATIONS	NNS
By	IN
Benjamin	NNP
Disraeli	NNP
I	PRP
would	MD
inscribe	VB
these	DT
volumes	NNS
to	TO
one	CD
whose	WP$
noble	JJ
spirit	NN
and	CC
gentle	JJ
nature	NN
ever	RB
prompt	JJ
her	PRP$
to	TO
sympathise	VB
with	IN
the	DT
suffering	NN
;	:
to	TO
one	CD
whose	WP$
sweet	JJ
voice	NN
has	VBZ
often	RB
encouraged	JJ
,	,
and	CC
whose	WP$
taste	NN
and	CC
judgment	NN
have	VBP
ever	RB
guided	VBN
,	,
their	PRP$
pages	NNS
;	:
the	DT
most	RBS
severe	JJ
of	IN
critics	NNS
,	,
but	CC
--	:
a	DT
perfect	JJ
Wife	NN
!	.

Advertisement	NN
The	DT
general	JJ
reader	NN
whose	WP$
attention	NN
has	VBZ
not	RB
been	VBN
specially	RB
drawn	VBN
to	TO
the	DT
subject	NN
which	WDT
these	DT
volumes	NNS
aim	VBP
to	TO
illustrate	VB
,	,
the	DT
Condition	NN
of	IN
the	DT
People	NNS
,	,
might	MD
suspect	VB
that	IN
the	DT
Writer	NN
had	VBD
been	VBN
tempted	VBN
to	TO
some	DT
exaggeration	NN
in	IN
the	DT
scenes	NNS
which	WDT
he	PRP
has	VBZ
drawn	VBN
and	CC
the	DT
impressions	NNS
which	WDT
he	PRP
has	VBZ
wished	VBN
to	TO
convey	VB
.	.

He	PRP
thinks	VBZ
it	PRP
therefore	RB
due	JJ
to	TO
himself	PRP
to	TO
state	NN
that	IN
he	PRP
believes	VBZ
there	EX
is	VBZ
not	RB
a	DT
trait	NN
in	IN
this	DT
work	NN
for	IN
which	WDT
he	PRP
has	VBZ
not	RB
the	DT
authority	NN
of	IN
his	PRP$
own	JJ
observation	NN
,	,
or	CC
the	DT
authentic	JJ
evidence	NN
which	WDT
has	VBZ
been	VBN
received	VBN
by	IN
Royal	NNP
Commissions	NNS
and	CC
Parliamentary	JJ
Committees	NNS
.	.

But	CC
while	IN
he	PRP
hopes	VBZ
he	PRP
has	VBZ
alleged	VBN
nothing	NN
which	WDT
is	VBZ
not	RB
true	JJ
,	,
he	PRP
has	VBZ
found	VBN
the	DT
absolute	JJ
necessity	NN
of	IN
suppressing	VBG
much	RB
that	DT
is	VBZ
genuine	JJ
.	.

For	IN
so	RB
little	JJ
do	VBP
we	PRP
know	VB
of	IN
the	DT
state	NN
of	IN
our	PRP$
own	JJ
country	NN
that	IN
the	DT
air	NN
of	IN
improbability	NN
that	IN
the	DT
whole	JJ
truth	NN
would	MD
inevitably	RB
throw	VB
over	RP
these	DT
pages	NNS
,	,
might	MD
deter	VB
many	JJ
from	IN
their	PRP$
perusal	NN
.	.

Grosvenor-Gate	NNP
,	,
May	NNP
Day	NNP
,	,
1845	CD
.	.

BOOK	NN
I	PRP
Book	VBP
1	CD
Chapter	NN
1	CD
``	``
I	PRP
'll	MD
take	VB
the	DT
odds	NNS
against	IN
Caravan	NNP
.	.
''	''

``	``
In	IN
poneys	NNS
?	.
''	''

``	``
Done	VBN
.	.
''	''

And	CC
Lord	NNP
Milford	NNP
,	,
a	DT
young	JJ
noble	JJ
,	,
entered	VBN
in	IN
his	PRP$
book	NN
the	DT
bet	NN
which	WDT
he	PRP
had	VBD
just	RB
made	VBN
with	IN
Mr	NNP
Latour	NNP
,	,
a	DT
grey	JJ
headed	VBN
member	NN
of	IN
the	DT
Jockey	NNP
Club	NNP
.	.

It	PRP
was	VBD
the	DT
eve	NN
of	IN
the	DT
Derby	NNP
of	IN
1837	CD
.	.

In	IN
a	DT
vast	JJ
and	CC
golden	JJ
saloon	NN
,	,
that	IN
in	IN
its	PRP$
decorations	NNS
would	MD
have	VB
become	VBN
,	,
and	CC
in	IN
its	PRP$
splendour	NN
would	MD
not	RB
have	VB
disgraced	VBN
,	,
Versailles	NNP
in	IN
the	DT
days	NNS
of	IN
the	DT
grand	JJ
monarch	NN
,	,
were	VBD
assembled	VBN
many	JJ
whose	WP$
hearts	NNS
beat	VBP
at	IN
the	DT
thought	NN
of	IN
the	DT
morrow	NN
,	,
and	CC
whose	WP$
brains	NNS
still	RB
laboured	VBD
to	TO
control	VB
its	PRP$
fortunes	NNS
to	TO
their	PRP$
advantage	NN
.	.

``	``
They	PRP
say	VBP
that	IN
Caravan	NNP
looks	VBZ
puffy	JJ
,	,
''	''
lisped	VBD
in	IN
a	DT
low	JJ
voice	NN
a	DT
young	JJ
man	NN
,	,
lounging	VBG
on	IN
the	DT
edge	NN
of	IN
a	DT
buhl	NN
table	NN
that	WDT
had	VBD
once	RB
belonged	VBN
to	TO
a	DT
Mortemart	NNP
,	,
and	CC
dangling	VBG
a	DT
rich	JJ
cane	NN
with	IN
affected	JJ
indifference	NN
in	IN
order	NN
to	TO
conceal	VB
his	PRP$
anxiety	NN
from	IN
all	DT
,	,
except	IN
the	DT
person	NN
whom	WP
he	PRP
addressed	VBD
.	.

``	``
They	PRP
are	VBP
taking	VBG
seven	CD
to	TO
two	CD
against	IN
him	PRP
freely	RB
over	IN
the	DT
way	NN
,	,
''	''
was	VBD
the	DT
reply	NN
.	.

``	``
I	PRP
believe	VBP
it	PRP
's	VBZ
all	RB
right	RB
.	.
''	''

``	``
Do	VBP
you	PRP
know	VB
I	PRP
dreamed	VBD
last	JJ
night	NN
something	NN
about	IN
Mango	NNP
,	,
''	''
continued	VBD
the	DT
gentleman	NN
with	IN
the	DT
cane	NN
,	,
and	CC
with	IN
a	DT
look	NN
of	IN
uneasy	JJ
superstition	NN
.	.

His	PRP$
companion	NN
shook	VBD
his	PRP$
head	NN
.	.

``	``
Well	UH
,	,
''	''
continued	VBD
the	DT
gentleman	NN
with	IN
the	DT
cane	NN
,	,
``	``
I	PRP
have	VBP
no	DT
opinion	NN
of	IN
him	PRP
.	.

I	PRP
gave	VBD
Charles	NNP
Egremont	NNP
the	DT
odds	NNS
against	IN
Mango	NNP
this	DT
morning	NN
;	:
he	PRP
goes	VBZ
with	IN
us	PRP
,	,
you	PRP
know	VBP
.	.

By	IN
the	DT
bye	NN
,	,
who	WP
is	VBZ
our	PRP$
fourth	JJ
?	.
''	''

``	``
I	PRP
thought	VBD
of	IN
Milford	NNP
,	,
''	''
was	VBD
the	DT
reply	NN
in	IN
an	DT
under	IN
tone	NN
.	.

``	``
What	WP
say	VBP
you	PRP
?	.
''	''

``	``
Milford	NNP
is	VBZ
going	VBG
with	IN
St	NNP
James	NNP
and	CC
Punch	NNP
Hughes	NNP
.	.
''	''

``	``
Well	UH
,	,
let	VB
us	PRP
come	VB
into	IN
supper	NN
,	,
and	CC
we	PRP
shall	MD
see	VB
some	DT
fellow	NN
we	PRP
like	VBP
.	.
''	''

So	RB
saying	VBG
,	,
the	DT
companions	NNS
,	,
taking	VBG
their	PRP$
course	NN
through	IN
more	JJR
than	IN
one	CD
chamber	NN
,	,
entered	VBD
an	DT
apartment	NN
of	IN
less	JJR
dimensions	NNS
than	IN
the	DT
principal	JJ
saloon	NN
,	,
but	CC
not	RB
less	RBR
sumptuous	JJ
in	IN
its	PRP$
general	JJ
appearance	NN
.	.

The	DT
gleaming	JJ
lustres	NNS
poured	VBD
a	DT
flood	NN
of	IN
soft	JJ
yet	RB
brilliant	JJ
light	NN
over	IN
a	DT
plateau	NN
glittering	VBG
with	IN
gold	NN
plate	NN
,	,
and	CC
fragrant	JJ
with	IN
exotics	NNS
embedded	VBN
in	IN
vases	NNS
of	IN
rare	JJ
porcelain	NN
.	.

The	DT
seats	NNS
on	IN
each	DT
side	NN
of	IN
the	DT
table	NN
were	VBD
occupied	VBN
by	IN
persons	NNS
consuming	VBG
,	,
with	IN
a	DT
heedless	JJ
air	NN
,	,
delicacies	NNS
for	IN
which	WDT
they	PRP
had	VBD
no	DT
appetite	NN
;	:
while	IN
the	DT
conversation	NN
in	IN
general	JJ
consisted	VBN
of	IN
flying	VBG
phrases	NNS
referring	VBG
to	TO
the	DT
impending	JJ
event	NN
of	IN
the	DT
great	JJ
day	NN
that	WDT
had	VBD
already	RB
dawned	VBN
.	.

``	``
Come	VB
from	IN
Lady	NNP
St	NNP
Julian	NNP
's	POS
,	,
Fitz	NNP
?	.
''	''

said	VBD
a	DT
youth	NN
of	IN
very	RB
tender	JJ
years	NNS
,	,
and	CC
whose	WP$
fair	JJ
visage	NN
was	VBD
as	IN
downy	NN
and	CC
as	IN
blooming	VBG
as	IN
the	DT
peach	NN
from	IN
which	WDT
with	IN
a	DT
languid	JJ
air	NN
he	PRP
withdrew	VBD
his	PRP$
lips	NNS
to	TO
make	VB
this	DT
inquiry	NN
of	IN
the	DT
gentleman	NN
with	IN
the	DT
cane	NN
.	.

``	``
Yes	UH
;	:
why	WRB
were	VBD
not	RB
you	PRP
there	EX
?	.
''	''

``	``
I	PRP
never	RB
go	VBP
anywhere	RB
,	,
''	''
replied	VBD
the	DT
melancholy	JJ
Cupid	NNP
,	,
``	``
everything	NN
bores	VBZ
me	PRP
so	RB
.	.
''	''

``	``
Well	UH
,	,
will	MD
you	PRP
go	VB
to	TO
Epsom	NNP
with	IN
us	PRP
to-morrow	RB
,	,
Alfred	NNP
?	.
''	''

said	VBD
Lord	NNP
Fitzheron	NNP
.	.

``	``
I	PRP
take	VBP
Berners	NNP
and	CC
Charles	NNP
Egremont	NNP
,	,
and	CC
with	IN
you	PRP
our	PRP$
party	NN
will	MD
be	VB
perfect	JJ
.	.
''	''

``	``
I	PRP
feel	VBP
so	RB
cursed	JJ
blase	NN
!	.
''	''

exclaimed	VBD
the	DT
boy	NN
in	IN
a	DT
tone	NN
of	IN
elegant	JJ
anguish	NN
.	.

``	``
It	PRP
will	MD
give	VB
you	PRP
a	DT
fillip	NN
,	,
Alfred	NNP
,	,
''	''
said	VBD
Mr	NNP
Berners	NNP
;	:
``	``
do	VBP
you	PRP
all	PDT
the	DT
good	JJ
in	IN
the	DT
world	NN
.	.
''	''

``	``
Nothing	NN
can	MD
do	VB
me	PRP
good	JJ
,	,
''	''
said	VBD
Alfred	NNP
,	,
throwing	VBG
away	RP
his	PRP$
almost	RB
untasted	JJ
peach	NN
,	,
``	``
I	PRP
should	MD
be	VB
quite	RB
content	JJ
if	IN
anything	NN
could	MD
do	VB
me	PRP
harm	NN
.	.

Waiter	NNP
,	,
bring	VB
me	PRP
a	DT
tumbler	NN
of	IN
Badminton	NNP
.	.
''	''

``	``
And	CC
bring	VB
me	PRP
one	CD
too	RB
,	,
''	''
sighed	VBD
out	RP
Lord	NNP
Eugene	NNP
De	NNP
Vere	NNP
,	,
who	WP
was	VBD
a	DT
year	NN
older	JJR
than	IN
Alfred	NNP
Mountchesney	NNP
,	,
his	PRP$
companion	NN
and	CC
brother	NN
in	IN
listlessness	NN
.	.

Both	DT
had	VBD
exhausted	VBN
life	NN
in	IN
their	PRP$
teens	NNS
,	,
and	CC
all	DT
that	DT
remained	VBD
for	IN
them	PRP
was	VBD
to	TO
mourn	VB
,	,
amid	IN
the	DT
ruins	NNS
of	IN
their	PRP$
reminiscences	NNS
,	,
over	IN
the	DT
extinction	NN
of	IN
excitement	NN
.	.

``	``
Well	UH
,	,
Eugene	NNP
,	,
suppose	VB
you	PRP
come	VB
with	IN
us	PRP
.	.
''	''

said	VBD
Lord	NNP
Fitzheron	NNP
.	.

``	``
I	PRP
think	VBP
I	PRP
shall	MD
go	VB
down	RB
to	TO
Hampton	NNP
Court	NNP
and	CC
play	VB
tennis	NN
,	,
''	''
said	VBD
Lord	NNP
Eugene	NNP
.	.

``	``
As	IN
it	PRP
is	VBZ
the	DT
Derby	NNP
,	,
nobody	NN
will	MD
be	VB
there	RB
.	.
''	''

``	``
And	CC
I	PRP
will	MD
go	VB
with	IN
you	PRP
,	,
Eugene	NNP
,	,
''	''
said	VBD
Alfred	NNP
Mountchesney	NNP
,	,
``	``
and	CC
we	PRP
will	MD
dine	VB
together	RB
afterwards	RB
at	IN
the	DT
Toy	NNP
.	.

Anything	NN
is	VBZ
better	JJR
than	IN
dining	NN
in	IN
this	DT
infernal	JJ
London	NNP
.	.
''	''

``	``
Well	UH
,	,
for	IN
my	PRP$
part	NN
,	,
''	''
said	VBD
Mr	NNP
Berners	NNP
.	.

``	``
I	PRP
do	VBP
not	RB
like	VB
your	PRP$
suburban	JJ
dinners	NNS
.	.

You	PRP
always	RB
get	VBP
something	NN
you	PRP
ca	MD
n't	RB
eat	VB
,	,
and	CC
cursed	VBD
bad	JJ
wine	NN
.	.
''	''

``	``
I	PRP
rather	RB
like	IN
bad	JJ
wine	NN
,	,
''	''
said	VBD
Mr	NNP
Mountchesney	NNP
;	:
``	``
one	CD
gets	VBZ
so	RB
bored	VBN
with	IN
good	JJ
wine	NN
.	.
''	''

``	``
Do	VBP
you	PRP
want	VB
the	DT
odds	NNS
against	IN
Hybiscus	NNP
,	,
Berners	NNP
?	.
''	''

said	VBD
a	DT
guardsman	NN
looking	VBG
up	RP
from	IN
his	PRP$
book	NN
,	,
which	WDT
he	PRP
had	VBD
been	VBN
very	RB
intently	RB
studying	VBG
.	.

``	``
All	DT
I	PRP
want	VBP
is	VBZ
some	DT
supper	NN
,	,
and	CC
as	IN
you	PRP
are	VBP
not	RB
using	VBG
your	PRP$
place	NN
--	:
''	''
``	``
You	PRP
shall	MD
have	VB
it	PRP
.	.

Oh	UH
!	.

here	RB
's	POS
Milford	NNP
,	,
he	PRP
will	MD
give	VB
them	PRP
me	PRP
.	.
''	''

And	CC
at	IN
this	DT
moment	NN
entered	VBD
the	DT
room	NN
the	DT
young	JJ
nobleman	NN
whom	WP
we	PRP
have	VBP
before	IN
mentioned	VBN
,	,
accompanied	VBN
by	IN
an	DT
individual	NN
who	WP
was	VBD
approaching	VBG
perhaps	RB
the	DT
termination	NN
of	IN
his	PRP$
fifth	JJ
lustre	NN
but	CC
whose	WP$
general	JJ
air	NN
rather	RB
betokened	VBD
even	RB
a	DT
less	RBR
experienced	JJ
time	NN
of	IN
life	NN
.	.

Tall	NNP
,	,
with	IN
a	DT
well-proportioned	JJ
figure	NN
and	CC
a	DT
graceful	JJ
carriage	NN
,	,
his	PRP$
countenance	VBP
touched	VBN
with	IN
a	DT
sensibility	NN
that	WDT
at	IN
once	RB
engages	VBZ
the	DT
affections	NNS
.	.

Charles	NNP
Egremont	NNP
was	VBD
not	RB
only	RB
admired	VBN
by	IN
that	DT
sex	NN
,	,
whose	WP$
approval	NN
generally	RB
secures	VBZ
men	NNS
enemies	NNS
among	IN
their	PRP$
fellows	NNS
,	,
but	CC
was	VBD
at	IN
the	DT
same	JJ
time	NN
the	DT
favourite	NN
of	IN
his	PRP$
own	JJ
.	.

``	``
Ah	UH
,	,
Egremont	NNP
!	.

come	VB
and	CC
sit	VB
here	RB
,	,
''	''
exclaimed	VBD
more	JJR
than	IN
one	CD
banqueter	NN
.	.

``	``
I	PRP
saw	VBD
you	PRP
waltzing	VBG
with	IN
the	DT
little	JJ
Bertie	NNP
,	,
old	JJ
fellow	NN
,	,
''	''
said	VBD
Lord	NNP
Fitzheron	NNP
,	,
``	``
and	CC
therefore	RB
did	VBD
not	RB
stay	VB
to	TO
speak	VB
to	TO
you	PRP
,	,
as	IN
I	PRP
thought	VBD
we	PRP
should	MD
meet	VB
here	RB
.	.

I	PRP
am	VBP
to	TO
call	VB
for	IN
you	PRP
,	,
mind	NN
.	.
''	''

``	``
How	WRB
shall	MD
we	PRP
all	DT
feel	VBP
this	DT
time	NN
to-morrow	NN
?	.
''	''

said	VBD
Egremont	NNP
,	,
smiling	VBG
.	.

``	``
The	DT
happiest	JJS
fellow	NN
at	IN
this	DT
moment	NN
must	MD
be	VB
Cockie	NNP
Graves	NNP
,	,
''	''
said	VBD
Lord	NNP
Milford	NNP
.	.

``	``
He	PRP
can	MD
have	VB
no	DT
suspense	NN
.	.

I	PRP
have	VBP
been	VBN
looking	VBG
over	IN
his	PRP$
book	NN
,	,
and	CC
I	PRP
defy	VBP
him	PRP
,	,
whatever	WDT
happens	VBZ
,	,
not	RB
to	TO
lose	VB
.	.
''	''

