THE	DT
WAY	NNP
WE	NNP
LIVE	NNP
NOW	NNP
.	.

by	IN
ANTHONY	NNP
TROLLOPE	NNP
.	.

CHAPTER	NN
I.	NN
THREE	CD
EDITORS	NNS
.	.

Let	VB
the	DT
reader	NN
be	VB
introduced	VBN
to	TO
Lady	NNP
Carbury	NNP
,	,
upon	IN
whose	WP$
character	NN
and	CC
doings	NNS
much	RB
will	MD
depend	VB
of	IN
whatever	WDT
interest	NN
these	DT
pages	NNS
may	MD
have	VB
,	,
as	IN
she	PRP
sits	VBZ
at	IN
her	PRP$
writing-table	JJ
in	IN
her	PRP$
own	JJ
room	NN
in	IN
her	PRP$
own	JJ
house	NN
in	IN
Welbeck	NNP
Street	NNP
.	.

Lady	NN
Carbury	NNP
spent	VBD
many	JJ
hours	NNS
at	IN
her	PRP$
desk	NN
,	,
and	CC
wrote	VBD
many	JJ
letters	NNS
,	,
--	:
wrote	VBD
also	RB
very	RB
much	JJ
beside	IN
letters	NNS
.	.

She	PRP
spoke	VBD
of	IN
herself	PRP
in	IN
these	DT
days	NNS
as	IN
a	DT
woman	NN
devoted	VBN
to	TO
Literature	NNP
,	,
always	RB
spelling	VBG
the	DT
word	NN
with	IN
a	DT
big	JJ
L.	NNP
Something	NN
of	IN
the	DT
nature	NN
of	IN
her	PRP$
devotion	NN
may	MD
be	VB
learned	VBN
by	IN
the	DT
perusal	NN
of	IN
three	CD
letters	NNS
which	WDT
on	IN
this	DT
morning	NN
she	PRP
had	VBD
written	VBN
with	IN
a	DT
quickly	RB
running	VBG
hand	NN
.	.

Lady	NN
Carbury	NNP
was	VBD
rapid	JJ
in	IN
everything	NN
,	,
and	CC
in	IN
nothing	NN
more	RBR
rapid	JJ
than	IN
in	IN
the	DT
writing	NN
of	IN
letters	NNS
.	.

Here	RB
is	VBZ
Letter	NN
No.	NN
1	CD
;	:
--	:
Thursday	NNP
,	,
Welbeck	NNP
Street	NNP
.	.

DEAR	NNP
FRIEND	NNP
,	,
--	:
I	PRP
have	VBP
taken	VBN
care	NN
that	IN
you	PRP
shall	MD
have	VB
the	DT
early	JJ
sheets	NNS
of	IN
my	PRP$
two	CD
new	JJ
volumes	NNS
to-morrow	NN
,	,
or	CC
Saturday	NNP
at	IN
latest	JJS
,	,
so	RB
that	IN
you	PRP
may	MD
,	,
if	IN
so	RB
minded	VBN
,	,
give	VB
a	DT
poor	JJ
struggler	NN
like	IN
myself	PRP
a	DT
lift	NN
in	IN
your	PRP$
next	JJ
week	NN
's	POS
paper	NN
.	.

Do	VB
give	VB
a	DT
poor	JJ
struggler	NN
a	DT
lift	NN
.	.

You	PRP
and	CC
I	PRP
have	VBP
so	RB
much	RB
in	IN
common	JJ
,	,
and	CC
I	PRP
have	VBP
ventured	VBN
to	TO
flatter	VB
myself	PRP
that	IN
we	PRP
are	VBP
really	RB
friends	NNS
!	.

I	PRP
do	VBP
not	RB
flatter	VB
you	PRP
when	WRB
I	PRP
say	VBP
,	,
that	IN
not	RB
only	RB
would	MD
aid	VB
from	IN
you	PRP
help	VBP
me	PRP
more	JJR
than	IN
from	IN
any	DT
other	JJ
quarter	NN
,	,
but	CC
also	RB
that	IN
praise	NN
from	IN
you	PRP
would	MD
gratify	VB
my	PRP$
vanity	NN
more	JJR
than	IN
any	DT
other	JJ
praise	NN
.	.

I	PRP
almost	RB
think	VBP
you	PRP
will	MD
like	VB
my	PRP$
``	``
Criminal	NNP
Queens	NNP
.	.
''	''

The	DT
sketch	NN
of	IN
Semiramis	NNP
is	VBZ
at	IN
any	DT
rate	NN
spirited	JJ
,	,
though	IN
I	PRP
had	VBD
to	TO
twist	VB
it	PRP
about	IN
a	DT
little	JJ
to	TO
bring	VB
her	PRP
in	IN
guilty	JJ
.	.

Cleopatra	NNP
,	,
of	IN
course	NN
,	,
I	PRP
have	VBP
taken	VBN
from	IN
Shakespeare	NNP
.	.

What	WP
a	DT
wench	NN
she	PRP
was	VBD
!	.

I	PRP
could	MD
not	RB
quite	RB
make	VB
Julia	NNP
a	DT
queen	NN
;	:
but	CC
it	PRP
was	VBD
impossible	JJ
to	TO
pass	VB
over	RP
so	RB
piquant	JJ
a	DT
character	NN
.	.

You	PRP
will	MD
recognise	VB
in	IN
the	DT
two	CD
or	CC
three	CD
ladies	NNS
of	IN
the	DT
empire	NN
how	WRB
faithfully	RB
I	PRP
have	VBP
studied	VBN
my	PRP$
Gibbon	NNP
.	.

Poor	NNP
dear	RB
old	JJ
Belisarius	NNP
!	.

I	PRP
have	VBP
done	VBN
the	DT
best	JJS
I	PRP
could	MD
with	IN
Joanna	NNP
,	,
but	CC
I	PRP
could	MD
not	RB
bring	VB
myself	PRP
to	TO
care	VB
for	IN
her	PRP
.	.

In	IN
our	PRP$
days	NNS
she	PRP
would	MD
simply	RB
have	VB
gone	VBN
to	TO
Broadmore	NNP
.	.

I	PRP
hope	VBP
you	PRP
will	MD
not	RB
think	VB
that	IN
I	PRP
have	VBP
been	VBN
too	RB
strong	JJ
in	IN
my	PRP$
delineations	NNS
of	IN
Henry	NNP
VIII	NNP
.	.

and	CC
his	PRP$
sinful	JJ
but	CC
unfortunate	JJ
Howard	NNP
.	.

I	PRP
do	VBP
n't	RB
care	VB
a	DT
bit	NN
about	IN
Anne	NNP
Boleyne	NNP
.	.

I	PRP
am	VBP
afraid	JJ
that	IN
I	PRP
have	VBP
been	VBN
tempted	VBN
into	IN
too	RB
great	JJ
length	NN
about	IN
the	DT
Italian	JJ
Catherine	NNP
;	:
but	CC
in	IN
truth	NN
she	PRP
has	VBZ
been	VBN
my	PRP$
favourite	NN
.	.

What	WP
a	DT
woman	NN
!	.

What	WP
a	DT
devil	NNP
!	.

Pity	NN
that	IN
a	DT
second	JJ
Dante	NNP
could	MD
not	RB
have	VB
constructed	VBN
for	IN
her	PRP$
a	DT
special	JJ
hell	NN
.	.

How	WRB
one	CD
traces	NNS
the	DT
effect	NN
of	IN
her	PRP$
training	NN
in	IN
the	DT
life	NN
of	IN
our	PRP$
Scotch	NNP
Mary	NNP
.	.

I	PRP
trust	VBP
you	PRP
will	MD
go	VB
with	IN
me	PRP
in	IN
my	PRP$
view	NN
as	IN
to	TO
